jugador,equipo,goles
Lautaro Gordillo,Gimnasia y Tiro,7
Franco Fagundez,Morón,7
Ignacio Lago,Colón,7
Martín Pino,Godoy Cruz,7
Marcos Machado,CA Mitre,6
Luis Silba,Dep. Madryn,6
Martiniano Moreno,Atlético Rafaela,6
Mauricio Asenjo,Los Andes,6
Maximiliano Álvarez,Tristan Suárez,6
Juan Sánchez Sotelo,Güemes,6
Juan Pablo Gobetto,Maipú,5
Sebastian Cocimano,Chicago,5
Nazareno Funez,San Martín,5
Bruno Nasta,San Miguel,5
Franco Toloza,Morón,5
Marcelo Eggel,Maipú,5
Enzo Gonzalez,Defensores,5
Juan Manuel Olivares,Morón,5
Mateo Benegas,Almagro,5
Leandro Córdoba,Racing (Cba),5
Agustín Lavezzi,Quilmes,5
Maximiliano Rogoski,Midland,5
Brian Blando,Agropecuario,5
Vicente Poggi,Godoy Cruz,4
Alejandro Quintana,Atlanta,4
Cristian Menéndez,Gimnasia (J),4
Ramiro Reynoso,Acassuso,4
Maximiliano Meléndez,Chacarita,4
Nicolás Toloza,Colegiales,4
Hernán Zuliani,San Martín,4
Pedro Souto,Temperley,4
Lautaro Parisi,Ferro,4
Octavio Bianchi,Gimnasia (J),4
Pablo Chavarria,Racing (Cba),4
Diego Diellos,San Martín (T),4
Lucas Delgado,San Miguel,3
Guillermo Sánchez,Bolivar,3
Alan Bonansea,Colón,3
Julián Marcioni,Colón,3
Leonardo Marinucci,Chaco For Ever,3
Martín Batallini,San Telmo,3
Santiago Sala,Güemes,3
Lautaro Ovando,San Martín (T),3
Santiago Vera,Alte. Brown,3
Rodrigo Monserrat,Colegiales,3
Francisco Molina,Gimnasia (J),3
Ezequiel Pacheco,Chaco For Ever,3
Nahuel Ulariaga,Godoy Cruz,3
Jonathan Berón,Tristan Suárez,3
Delfor Minervino,Gimnasia (J),3
Fernando Brandán,Temperley,3
Facundo Ardiles,Estudiantes,3
Enzo Acosta,Estudiantes,3
Ulises Vera,Quilmes,3
Mauro Cachi,Gimnasia (J),3
Ricardo Centurión,Racing (Cba),3
Maximiliano Gutiérrez,Bolivar,3
Jeremías Puch,Atlanta,3
Emanuel Dening,Ferro,3
Franco Saccone,Maipú,3
Iván Zafarana,All Boys,2
Felipe Obradovich,Ferro,2
Lázaro Romero,Acassuso,2
Diego Vásquez,Agropecuario,2
Alan Olinick,Racing (Cba),2
Juan Cruz Vega,Midland,2
Agustin Hermoso,Acassuso,2
Nicolas Ferreyra,San Martín (T),2
Franco García,Ferro,2
Manuel Cocca,San Martín,2
Juan Barbieri,Chacarita,2
Abel Argañaraz,Gimnasia (J),2
Tomas Almada,Alte. Brown,2
Brian Duarte,Bolivar,2
Matías Kabalin,Ferro,2
Thiago Ocampo,Chicago,2
Santiago Kubiszyn,Morón,2
Hugo Soria,Gimnasia (J),2
Lucas Faggioli,Maipú,2
Mirko Bonfigli,Maipú,2
Facundo Mucignat,Bolivar,2
Ian Vera,Estudiantes,2
Enzo Martínez,Almagro,2
Sergio Ortiz,Los Andes,2
Thiago Calone,All Boys,2
Javier Martinez,Alte. Brown,2
Hernán Rivero,Patronato,2
Agustín Campana,Midland,2
Maximiliano Casa,Gimnasia (J),2
Ijiel Protti,Atlético Rafaela,2
Alejo Tabares,All Boys,2
Franco Tisera,San Telmo,2
Kevin Colli,Tristan Suárez,2
Alexis Domínguez,Quilmes,2
Jorge Valdez Chamorro,Agropecuario,2
Gustavo Fernández,CA Mitre,2
Federico Bisanz,Atlanta,2
Leonel Galeano,Atlanta,2
Fabrizio Almeida,San Miguel,2
Yvo Calleros,Dep. Madryn,2
Nicolás Servetto,Dep. Madryn,2
Joel Gonzalez,San Telmo,2
Gabriel Hauche,Temperley,2
Renzo Reynaga,Patronato,2
Julián Lopez,Central Norte,2
Lucas Ambrogio,Chicago,2
Alan Ruiz,Chicago,2
David Gallardo,Gimnasia (J),2
Ángel Almada,Tristan Suárez,2
Dario Rostagno,Estudiantes,2
Iván Antunes,CA Mitre,2
Ignacio Antonio,Colón,2
Ezequiel Bulacio,Morón,2
Aarón Spetale,Quilmes,2
Leonardo González,Colegiales,2
Federico Álvarez,Atlanta,2
Nicolas Rinaldi,Gimnasia y Tiro,2
Nacho Rodríguez,Atlanta,2
Julián Navas,Los Andes,2
Ezequiel Montagna,Dep. Madryn,2
Leandro Ciccolini,Defensores,2
Imanol Enríquez,Chaco For Ever,2
Federico Castro,Atlanta,2
Bruno Medina,All Boys,2
Maximiliano Ribero,Central Norte,2
Facundo Villarreal,Los Andes,2
Lautaro Fedele,Atlanta,2
Arnaldo González,Bolivar,2
Gustavo Canto,Ferro,2
Walter Rueda,Patronato,2
Matías Birge,Gimnasia y Tiro,2
Marcos Roseti,Midland,2
Juan Cruz Giacone,Maipú,2
Thomas Amilivia,Güemes,2
Ángel Gonzalez,Ferro,2
Franco Bustamante,Almagro,2
Facundo Rivero,Colegiales,2
Santiago Rosales,CA Mitre,2
Fernando González,Midland,2
Daniel Juárez,San Miguel,2
Gastón González,Morón,2
Esteban Burgos,Godoy Cruz,2
Joel Orlando,Almagro,2
Facundo Kruger,Temperley,2
Elias Ocampo,Colegiales,1
Emiliano Purita,All Boys,1
Patricio Moyano,Defensores,1
Nazareno Kihm,Ferro,1
Alejandro Gagliardi,Agropecuario,1
Milton Leyendeker,Chacarita,1
Jonathan Raccio,Acassuso,1
Franco Vázquez,Dep. Madryn,1
Gianfranco Baier,Güemes,1
Franco Soldano,Patronato,1
Jonas Aguirre,Gimnasia y Tiro,1
Gabriel Ramírez,Chaco For Ever,1
Emanuel Díaz,San Telmo,1
Gabriel Paredes,San Telmo,1
Tomás Pozzo,Godoy Cruz,1
Francisco Cristaldo,Chacarita,1
Hernan Grana,All Boys,1
Adrián Arregui,Temperley,1
Franco Hanashiro,Colegiales,1
Claudio Salto,CA Mitre,1
Jorge Ferrero,San Miguel,1
Conrado Ibarra,Colón,1
Juan Ignacio Motroni,San Telmo,1
David Escalante,Acassuso,1
Lautaro Diaz Laharque,Midland,1
Emilio Porro,Midland,1
Emilio Lazza,Güemes,1
Álvaro Cuello,Chacarita,1
Elias Britez,San Telmo,1
Mauro Albertengo,Colegiales,1
Agustín Bolivar,Quilmes,1
Iván Ramírez,San Miguel,1
Roman Etcheverri,San Miguel,1
Agustín Ojeda,Chaco For Ever,1
Santiago Briñone,San Martín (T),1
Diego Martinez,Dep. Madryn,1
Marcelo Meli,Dep. Madryn,1
Máximo Levi,Alte. Brown,1
Franco Vedoya,Central Norte,1
Ulises Abreliano,Alte. Brown,1
Joaquin Livera,Morón,1
Marcelo Benítez,Güemes,1
Ramiro Martinez,Quilmes,1
Emilio Porro,Almagro,1
Kevin López,San Martín (T),1
Federico Murillo,San Martín,1
Jorge Juarez,San Martín (T),1
Gonzalo Berterame,Morón,1
Franco Rodriguez,Los Andes,1
Julian Cosi,Dep. Madryn,1
Maximiliano Luayza,Tristan Suárez,1
Leonardo Flores,Atlético Rafaela,1
Tomás Rojas,Temperley,1
Federico Bravo,Patronato,1
Milton Gerez,Güemes,1
Fabricio Rojas,Gimnasia y Tiro,1
Mauricio Cuero,Dep. Madryn,1
Alan López,CA Mitre,1
Agustín Benítez,Defensores,1
Mauro Quiroga,Atlético Rafaela,1
Jeremias Perales,Midland,1
Augusto Berrondo,Tristan Suárez,1
Tomás Pérez Serra,Chacarita,1
Camilo Viganoni,Los Andes,1
Francisco Tcherkaski,Defensores,1
Guillermo Cosaro,Gimnasia (J),1
Agustín Sosa,Dep. Madryn,1
Nicolás Ortiz,Dep. Madryn,1
Franco Bergés,Güemes,1
Emiliano Méndez,Chicago,1
Kevin Ceceri,San Miguel,1
Mateo Mendoza,San Telmo,1
 Tomás Attis,Patronato,1
Nicolás Pantaleone,Chacarita,1
Francisco Facello,Chacarita,1
Marcos Echeverría,Temperley,1
Lucas Angelini,Temperley,1
Nicolas Molina,Temperley,1
Axel Batista,Quilmes,1
Santiago Gauna,Alte. Brown,1
Tomás Lecanda,Agropecuario,1
Juan Cruz Cerrudo,Chaco For Ever,1
Gianluca Mancuso,Central Norte,1
Elias Calderón,CA Mitre,1
Luciano Ferreyra,San Martín (T),1
Gabriel Vega,Chicago,1
Mauro Osores,San Martín,1
Rodrigo Moreira,Atlanta,1
Sebastián Jaurena,San Martín,1
Lucio Castillo,Colegiales,1
Mateo Acosta,Ferro,1
Francisco Maidana,Gimnasia (J),1
Martin Lazarte,Gimnasia (J),1
Agustin Obando,Atlético Rafaela,1
Francisco Nouet,Atlético Rafaela,1
Alan Aguirre,Agropecuario,1
Jeronimo Porto,San Telmo,1
Lorenzo Barrera,Agropecuario,1
Martín Vázquez,CA Mitre,1
Gustavo Cabral,Alte. Brown,1
Ezequiel Aguirre,Defensores,1
Facundo Roncaglia,San Telmo,1
Darío Sarmiento,Colón,1
Facundo Pons,San Martín (T),1
Braian Rivero,Atlanta,1
Álvaro Veliez,Tristan Suárez,1
Juan Pablo Zárate,CA Mitre,1
Franco Benitez,Temperley,1
Franco Zicarelli,Colegiales,1
Axel Rodríguez,Godoy Cruz,1
Rodrigo Cao,Midland,1
Valentin Gargiulo,Midland,1
Sergio Gonzalez,Racing (Cba),1
Brian Olivera,Dep. Madryn,1
Facundo Giacopuzzi,Dep. Madryn,1
Manuel Guanini,Gimnasia y Tiro,1
Rodrigo Mosqueira,Agropecuario,1
Jesus Camaño,Midland,1
Tobias Salas,Estudiantes,1
Gastón Mansilla,Maipú,1
Emanuel Aguilera,San Martín,1
Brandon Cortés,Patronato,1
Mario Sanabria,Chacarita,1
Ián Rasso,Quilmes,1
Federico Peralta,Bolivar,1
Matias Moravec,Central Norte,1
Nicolás Barrientos,Dep. Madryn,1
Federico Lertora,Colón,1
Jonathan Dellarossa,Defensores,1
Matías Romero,Chicago,1
Nicolas Tolosa,Almagro,1
Matías García,San Martín (T),1
Agustín Lamosa,Central Norte,1
Francisco Borda,Central Norte,1
Alex Díaz,Bolivar,1
Facundo Montiel,Colegiales,1
Julián Vitale,Almagro,1
Leonardo Monje,San Martín,1
Agustín Ramírez,CA Mitre,1
Juan Salas,Patronato,1
Lisandro Cabrera,Maipú,1
Nicolás Contin,Gimnasia y Tiro,1
Santiago Apa,All Boys,1
Julián Rodríguez,Los Andes,1
Khalil Caraballo,Bolivar,1
Lucas Albertengo,Atlético Rafaela,1
Gabriel Hachen,San Martín,1
Nicolas Iachetti,San Martín,1
Tomas Silva,Maipú,1
Diego Roberts,Acassuso,1
Brian Nievas,Chaco For Ever,1
Gastón Esposito,Güemes,1
Ezequiel Almirón,Estudiantes,1
Nazareno Bazán Vera,Alte. Brown,1
Mauro Peinipil,Colón,1
Nicolás Previtali,Atlanta,1
Tiago Banega,Gimnasia y Tiro,1
Elias Contreras,Morón,1
Gonzalo Alvez,Central Norte,1
Enzo Gaggi,Chaco For Ever,1
Lorenzo Brun,Chacarita,1
Joaquin Varela,Gimnasia (J),1
Christian Bernardi,Atlanta,1
Tomas Rodriguez,Acassuso,1
Joaquin Mateo,Central Norte,1
Leonel Ortíz,Atlético Rafaela,1
Enzo Hoyos,Ferro,1
Áaron Agüero,Güemes,1
Federico Rasmussen,Colón,1
Pier Barrios,Colón,1
Mauro Pérez,Chicago,1
Andrés Chávez,Almagro,1
Luciano Pascual,Alte. Brown,1
Nazareno Solís,Dep. Madryn,1
Federico Sena,Estudiantes,1
Bautista Degregorio,Estudiantes,1
Alex Valdez Chamorro,Los Andes,1
Emilio Lazza,Temperley,1
