zona,posicion,equipo,partidos_jugados,ganados,empatados,perdidos,gf,gc,dg,puntos
Clausura,1,Águilas Doradas,0,0,0,0,0,0,0,0
Clausura,2,Alianza FC,0,0,0,0,0,0,0,0
Clausura,3,América de Cali,0,0,0,0,0,0,0,0
Clausura,4,Atlético Bucaramanga,0,0,0,0,0,0,0,0
Clausura,5,Atlético Nacional,0,0,0,0,0,0,0,0
Clausura,6,Boyacá Chicó,0,0,0,0,0,0,0,0
Clausura,7,Cúcuta Deportivo,0,0,0,0,0,0,0,0
Clausura,8,Deportes Tolima,0,0,0,0,0,0,0,0
Clausura,9,Deportivo Cali,0,0,0,0,0,0,0,0
Clausura,10,Deportivo Pasto,0,0,0,0,0,0,0,0
Clausura,11,Deportivo Pereira,0,0,0,0,0,0,0,0
Clausura,12,Fortaleza FC,0,0,0,0,0,0,0,0
Clausura,13,Independiente Medellín,0,0,0,0,0,0,0,0
Clausura,14,Independiente Santa Fe,0,0,0,0,0,0,0,0
Clausura,15,Internacional de Bogotá,0,0,0,0,0,0,0,0
Clausura,16,Jaguares de Córdoba,0,0,0,0,0,0,0,0
Clausura,17,Junior FC,0,0,0,0,0,0,0,0
Clausura,18,Llaneros FC,0,0,0,0,0,0,0,0
Clausura,19,Millonarios,0,0,0,0,0,0,0,0
Clausura,20,Once Caldas,0,0,0,0,0,0,0,0
